scenario_id,severity,action,references
op_midnight_eclipse,HIGH,"Isolate WS-JSMITH (patient zero) — contain initial access vector and break C2 to 185.220.101.42","T1204.002,T1071.001"
op_midnight_eclipse,HIGH,"Reset jsmith credentials and derivative service accounts (svc_backup, svc_deploy); revoke all active sessions","T1003.001"
op_midnight_eclipse,HIGH,"Reset krbtgt password TWICE — golden ticket was forged from this hash","T1558.001"
op_midnight_eclipse,MED,"Pull DCSync events (EID 4662 + DS-Replication-Get-Changes) from past 30 days across all DCs","T1003.006"
op_midnight_eclipse,MED,"Block C2 IP 185.220.101.42 at perimeter; monitor DNS logs for fallback domains","T1071.001,T1071.004"
op_midnight_eclipse,LOW,"Enable the 3 Apt29-* correlation searches in savedsearches.conf for ongoing detection",""
op_ironclaw,HIGH,"Isolate all hosts in the workstation cluster (WS-ALICE/BOB/CHARLIE/DIANA) — mass encryption in progress","T1486"
op_ironclaw,HIGH,"Disable AD accounts for affected users; force re-enrollment to break attacker persistence",""
op_ironclaw,HIGH,"Verify offline backup integrity BEFORE attempting any recovery — shadow copies have been deleted","T1490"
op_ironclaw,MED,"Identify the malicious DLL via file hash; block at EDR; sweep all hosts for IOCs",""
op_ironclaw,MED,"Pull Tor / .onion DNS lookups from network telemetry to identify C2 and extortion communication channels","T1071.001"
op_ironclaw,LOW,"Decision: pay vs. restore. Notify counsel, cyber insurance, and law enforcement before either path",""
op_silent_drift,HIGH,"Suspend j.miller account immediately; preserve workstation forensically","T1078"
op_silent_drift,HIGH,"Block outbound HTTPS to *.s3.amazonaws.com, *.dropbox.com, drive.google.com from j.miller source IPs","T1567.002"
op_silent_drift,MED,"Audit HR-SENSITIVE and FINANCE-EXEC share access logs (90 days) — identify what was staged","T1213"
op_silent_drift,MED,"Engage HR and legal — this is an HR event first, security event second. Preserve evidence per IR playbook",""
op_silent_drift,MED,"Pull CRM database query logs for j.miller to quantify customer records exposed","T1213,T1005"
op_silent_drift,LOW,"Review privileged access policy — apply least-privilege fix to sysadmin role's HR share mounts",""
